tsolve,alg,nvars,seed,runseed
2,GR,5,8,10
1,RS,5,8,10
40,UEDA,5,9,1
14,GR,5,9,1
4,RS,5,9,1
13,UEDA,5,9,2
6,GR,5,9,2
4,RS,5,9,2
2,UEDA,5,9,3
22,GR,5,9,3
6,RS,5,9,3
68,UEDA,5,9,4
9,GR,5,9,4
15,RS,5,9,4
14,UEDA,5,9,5
24,GR,5,9,5
52,RS,5,9,5
2,UEDA,5,9,6
40,GR,5,9,6
59,RS,5,9,6
51,UEDA,5,9,7
9,GR,5,9,7
65,RS,5,9,7
5,UEDA,5,9,8
13,GR,5,9,8
6,RS,5,9,8
2,UEDA,5,9,9
17,GR,5,9,9
6,RS,5,9,9
55,UEDA,5,9,10
24,GR,5,9,10
11,RS,5,9,10
36,UEDA,5,10,1
6,GR,5,10,1
20,RS,5,10,1
1,UEDA,5,10,2
3,GR,5,10,2
1,RS,5,10,2
7,UEDA,5,10,3
5,GR,5,10,3
7,RS,5,10,3
6,UEDA,5,10,4
1,GR,5,10,4
6,RS,5,10,4
4,UEDA,5,10,5
10,GR,5,10,5
40,RS,5,10,5
64,UEDA,5,10,6
9,GR,5,10,6
9,RS,5,10,6
34,UEDA,5,10,7
2,GR,5,10,7
12,RS,5,10,7
26,UEDA,5,10,8
10,GR,5,10,8
16,RS,5,10,8
18,UEDA,5,10,9
10,GR,5,10,9
10,RS,5,10,9
1,UEDA,5,10,10
2,GR,5,10,10
1,RS,5,10,10
8,UEDA,6,1,1
22,GR,6,1,1
6,RS,6,1,1
74,UEDA,6,1,2
20,GR,6,1,2
24,RS,6,1,2
3,UEDA,6,1,3
13,GR,6,1,3
11,RS,6,1,3
1,UEDA,6,1,4
14,GR,6,1,4
1,RS,6,1,4
26,UEDA,6,1,5
12,GR,6,1,5
8,RS,6,1,5
17,UEDA,6,1,6
18,GR,6,1,6
23,RS,6,1,6
2,UEDA,6,1,7
6,GR,6,1,7
31,RS,6,1,7
47,UEDA,6,1,8
49,GR,6,1,8
10,RS,6,1,8
7,UEDA,6,1,9
6,GR,6,1,9
39,RS,6,1,9
46,UEDA,6,1,10
30,GR,6,1,10
154,RS,6,1,10
24,UEDA,6,2,1
8,GR,6,2,1
13,RS,6,2,1
14,UEDA,6,2,2
33,GR,6,2,2
5,RS,6,2,2
4,UEDA,6,2,3
20,GR,6,2,3
10,RS,6,2,3
27,UEDA,6,2,4
67,GR,6,2,4
14,RS,6,2,4
78,UEDA,6,2,5
16,GR,6,2,5
16,RS,6,2,5
9,UEDA,6,2,6
4,GR,6,2,6
27,RS,6,2,6
6,UEDA,6,2,7
8,GR,6,2,7
2,RS,6,2,7
45,UEDA,6,2,8
89,GR,6,2,8
139,RS,6,2,8
3,UEDA,6,2,9
25,GR,6,2,9
56,RS,6,2,9
189,UEDA,6,2,10
68,GR,6,2,10
40,RS,6,2,10
13,UEDA,6,3,1
9,GR,6,3,1
5,RS,6,3,1
31,UEDA,6,3,2
8,GR,6,3,2
4,RS,6,3,2
11,UEDA,6,3,3
12,GR,6,3,3
14,RS,6,3,3
95,UEDA,6,3,4
7,GR,6,3,4
29,RS,6,3,4
13,UEDA,6,3,5
7,GR,6,3,5
64,RS,6,3,5
16,UEDA,6,3,6
11,GR,6,3,6
69,RS,6,3,6
20,UEDA,6,3,7
3,GR,6,3,7
65,RS,6,3,7
22,UEDA,6,3,8
5,GR,6,3,8
6,RS,6,3,8
5,UEDA,6,3,9
4,GR,6,3,9
6,RS,6,3,9
72,UEDA,6,3,10
8,GR,6,3,10
13,RS,6,3,10
30,UEDA,6,4,1
8,GR,6,4,1
167,RS,6,4,1
66,UEDA,6,4,2
9,GR,6,4,2
52,RS,6,4,2
36,UEDA,6,4,3
52,GR,6,4,3
5,RS,6,4,3
8,UEDA,6,4,4
5,GR,6,4,4
4,RS,6,4,4
11,UEDA,6,4,5
13,GR,6,4,5
15,RS,6,4,5
17,UEDA,6,4,6
14,GR,6,4,6
5,RS,6,4,6
1,UEDA,6,4,7
12,GR,6,4,7
1,RS,6,4,7
27,UEDA,6,4,8
13,GR,6,4,8
51,RS,6,4,8
15,UEDA,6,4,9
6,GR,6,4,9
46,RS,6,4,9
11,UEDA,6,4,10
9,GR,6,4,10
30,RS,6,4,10
89,UEDA,6,5,1
16,GR,6,5,1
36,RS,6,5,1
11,UEDA,6,5,2
10,GR,6,5,2
18,RS,6,5,2
7,UEDA,6,5,3
14,GR,6,5,3
15,RS,6,5,3
13,UEDA,6,5,4
9,GR,6,5,4
32,RS,6,5,4
3,UEDA,6,5,5
12,GR,6,5,5
67,RS,6,5,5
35,UEDA,6,5,6
9,GR,6,5,6
14,RS,6,5,6
10,UEDA,6,5,7
9,GR,6,5,7
39,RS,6,5,7
72,UEDA,6,5,8
6,GR,6,5,8
22,RS,6,5,8
87,UEDA,6,5,9
12,GR,6,5,9
26,RS,6,5,9
4,UEDA,6,5,10
6,GR,6,5,10
5,RS,6,5,10
2,UEDA,6,6,1
29,GR,6,6,1
4,RS,6,6,1
20,UEDA,6,6,2
33,GR,6,6,2
32,RS,6,6,2
66,UEDA,6,6,3
44,GR,6,6,3
6,RS,6,6,3
5,UEDA,6,6,4
33,GR,6,6,4
15,RS,6,6,4
75,UEDA,6,6,5
21,GR,6,6,5
52,RS,6,6,5
11,UEDA,6,6,6
5,GR,6,6,6
59,RS,6,6,6
16,UEDA,6,6,7
1,GR,6,6,7
74,RS,6,6,7
11,UEDA,6,6,8
6,GR,6,6,8
58,RS,6,6,8
10,UEDA,6,6,9
5,GR,6,6,9
15,RS,6,6,9
20,UEDA,6,6,10
11,GR,6,6,10
11,RS,6,6,10
60,UEDA,6,7,1
23,GR,6,7,1
20,RS,6,7,1
4,UEDA,6,7,2
26,GR,6,7,2
36,RS,6,7,2
28,UEDA,6,7,3
27,GR,6,7,3
45,RS,6,7,3
44,UEDA,6,7,4
27,GR,6,7,4
31,RS,6,7,4
13,UEDA,6,7,5
15,GR,6,7,5
112,RS,6,7,5
3,UEDA,6,7,6
14,GR,6,7,6
9,RS,6,7,6
5,UEDA,6,7,7
26,GR,6,7,7
27,RS,6,7,7
26,UEDA,6,7,8
21,GR,6,7,8
16,RS,6,7,8
22,UEDA,6,7,9
1,GR,6,7,9
10,RS,6,7,9
1,UEDA,6,7,10
12,GR,6,7,10
1,RS,6,7,10
88,UEDA,6,8,1
11,GR,6,8,1
20,RS,6,8,1
4,UEDA,6,8,2
7,GR,6,8,2
36,RS,6,8,2
